Station Number,DWR Regional Office*,Name,County,Latitude,Longitude,ELEV,Status,Connect,Disconnect
250,NRO,Williams,Colusa,39.210667,-122.168889,69,Active,8/9/2016,Active
251,SRO,Highland,San Bernardino,34.112042,-117.185700,1275,Active,10/10/2016,Active
252,SCRO,Soledad II,Monterey,36.456728,-121.344388,214,Active,9/3/2016,Active
253,NCRO,Pescadero,San Mateo,37.255333,-122.370800,47,Active,8/24/2017,Active
254,NCRO,Oakland Metro,Alameda,37.718167,-122.197111,14,Active,3/12/2018,Active
255,SRO,Chino,San Bernardino,33.985350,-117.656528,637,Active,3/8/2018,Active
256,SRO,Lancaster,Los Angeles,34.759475,-117.991997,2340,Active,7/26/2018,Active
257,SRO,Ridgecrest,Kern,35.659128,-117.636925,2234,Active,10/10/2018,Active
258,SCRO,Lemon Cove,Tulare,36.376917,-119.037972,498,Active,11/15/2018,Active
259,NRO,Ferndale Plain,Humboldt,40.604467,-124.243186,21,Active,8/5/2019,Active
260,NRO,Montague,Siskiyou,41.798331,-122.463425,2663,Active,9/20/2019,Active
261,NRO,Gazelle,Siskiyou,41.533989,-122.532279,2743,Active,9/18/2019,Active
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
